??? ??????,?????,??????,???????,?????,???,,,????,,,???? ???,,,?????,,,?????,,,???? ????,,,??? ????,,,????? ??????,,,?????????,,,????????? ??????,,,????,,,?? ???,,,?????? ??????,DM INTAKE,DM-??????,TOTAL PRICE,cost,???? ??????,???? ??????,1K DM price,?????? ???????,??????,???? ??????,
,,,,,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,??????,DM,PRICE,,,,,,,,,,,,
,,,,,,90%,16.48,,92%,22.7,,92%,32.3,,27%,2.4,,16%,1.5,,99%,310,,99%,2,,99%,26.5,,99%,93.5,,99%,30,,23%,1.81,,93%,1.2,,,,,,,,,,,,
3A,30,60%,????,????,5.17,4.65,85.2,1.1,1.01,25.0,,,,8.63,2.33,20.712,14,2.24,21,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.015,0.01485,1.40,0.1,0.099,3,,,,,,,17.5,6.3,5.9,95.2,89.8,44%,56%,15.2,524,30,5.7%,
3B,30,80%,????,????,5.17,4.65,85.2,1.1,1.01,25.0,0.0,0,0.0,8.63,2.33,20.712,14,2.24,21,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.10,0.099,3,0,0,0,,0,0,23.3,8.3,7.9,127.0,120.6,44%,56%,15.2,698,35,5.0%,
4A,18,100%,????,????,5.17,4.65,85.2,1.1,1.01,25.0,0.0,0,0.0,8.63,2.33,20.712,14,2.24,21,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.10,0.099,3,0,0,0,,0,0,29.1,10.4,10.2,158.7,155.1,44%,56%,15.2,524,12,2.3%,
4B,12,67%,????,?????,6,5.40,98.9,2.5,2.30,56.8,1.5,1.38,48.5,20.50,5.54,49.2,36,5.76,54,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.15,0.1485,4.5,0,0,0,,0,0,44.7,13.8,12.7,211.5,193.7,55%,45%,15.3,537,45,8.4%,
5A,#VALUE!,100%,??????,?????,,0.00,0.0,,0.00,0.0,,0,0.0,,0.00,0,,0.00,0,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.10,0.099,3,,0,0,,0,0,0.2,0.2,#VALUE!,6.8,#VALUE!,0%,100%,36.3,#VALUE!,,#VALUE!,
5B,28,85%,????,?????,5.17,4.65,85.2,1.1,1.01,25.0,0.0,0,0.0,8.63,2.33,20.712,14,2.24,21,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.10,0.099,3,0,0,0,,0,0,24.7,8.9,8.1,134.9,123.2,44%,56%,15.2,692,60,8.7%,
6A,#VALUE!,130%,?????,?????,0.5,0.45,8.2,0.14,0.13,3.2,0.0,0,0.0,4.00,1.08,9.6,14,2.24,21,0.01,0.0099,3.1,0.03,0.0297,0.06,0.012,0.01188,0.32,0.01,0.00594,0.56,0.10,0.099,3,0,0,0,2,1.86,2.4,27.0,7.7,#VALUE!,66.9,#VALUE!,88%,12%,8.7,#VALUE!,,#VALUE!,
7A,#VALUE!,130%,?????,?????,0.5,0.45,8.2,0.14,0.13,3.2,0.0,0,0.0,4.00,1.08,9.6,14,2.24,21,0.01,0.0099,3.1,0.03,0.0297,0.06,0.012,0.01188,0.32,0.01,0.00594,0.56,0.10,0.099,3,0,0,0,2,1.86,2.4,27.0,7.7,#VALUE!,66.9,#VALUE!,88%,12%,8.7,#VALUE!,,#VALUE!,
8A,#VALUE!,130%,?????,?????,0.5,0.45,8.2,0.14,0.13,3.2,0.0,0,0.0,4.00,1.08,9.6,14,2.24,21,0.01,0.0099,3.1,0.03,0.0297,0.06,0.012,0.01188,0.32,0.01,0.00594,0.56,0.10,0.099,3,0,0,0,2,1.86,2.4,27.0,7.7,#VALUE!,66.9,#VALUE!,88%,12%,8.7,#VALUE!,,#VALUE!,
9A,20,130%,????,????,6,5.40,98.9,2.5,2.30,56.8,1.5,1.38,48.5,20.50,5.54,49.2,36,5.76,54,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.15,0.1485,4.5,0,0,0,,0,0,86.8,26.8,25.3,410.3,386.6,55%,45%,15.3,1735,100,5.8%,
10A,#VALUE!,110%,????,????,5.17,4.65,85.2,1.1,1.01,25.0,0.0,0,0.0,8.63,2.33,20.712,14,2.24,21,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.10,0.099,3,0,0,0,,0,0,32.0,11.5,#VALUE!,174.6,#VALUE!,44%,56%,15.2,#VALUE!,42,#VALUE!,
10B,19,100%,????,????,5.17,4.65,85.2,1.1,1.01,25.0,0.0,0,0.0,8.63,2.33,20.712,14,2.24,21,0.005,0.00495,1.55,0.04,0.0396,0.08,0.03,0.0297,0.80,0.02,0.01485,1.40,0.10,0.099,3,0,0,0,,0,0,29.1,10.4,10.1,158.7,153.5,44%,56%,15.2,553,18,3.3%,
12,#VALUE!,130%,?????,????,0.5,0.45,8.2,0.14,0.13,3.2,0.0,0,0.0,4.00,1.08,9.6,14,2.24,21,0.01,0.0099,3.1,0.03,0.0297,0.06,0.012,0.01188,0.32,0.01,0.00594,0.56,0.10,0.099,3,0,0,0,2,1.86,2.4,27.0,7.7,#VALUE!,66.9,#VALUE!,88%,12%,8.7,#VALUE!,,#VALUE!,
,#VALUE!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,???? ????? ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4/25/2026,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
