??? ??????,??? ??????,?????,???????,????? ,??????,?????? ????????,?????? ???????
4000,32500,3254.3,970,,1116,5340.3,37840.3
4001,32500,3254.3,970,,1116,5340.3,37840.3
4002,32500,3254.3,970,,1116,5340.3,37840.3
4003,32500,3254.3,970,,1116,5340.3,37840.3
4004,32500,3254.3,970,,1116,5340.3,37840.3
4005,32500,3254.3,970,,1116,5340.3,37840.3
4006,32500,3254.3,970,,1116,5340.3,37840.3
4007,32500,3254.3,970,,1116,5340.3,37840.3
4008,32500,3254.3,970,,1116,5340.3,37840.3
4009,32500,3254.3,970,,1116,5340.3,37840.3
4010,32500,3254.3,970,,1116,5340.3,37840.3
4011,32500,3254.3,970,,1116,5340.3,37840.3
4012,32500,3254.3,970,,1116,5340.3,37840.3
4013,32500,3254.3,970,,1116,5340.3,37840.3
4014,32500,3254.3,970,,1116,5340.3,37840.3
4015,32500,3254.3,970,,1116,5340.3,37840.3
4016,32500,3254.3,970,,1116,5340.3,37840.3
4017,32500,3254.3,970,,1116,5340.3,37840.3
4018,32500,3254.3,970,,1116,5340.3,37840.3
4019,32500,3254.3,970,,1116,5340.3,37840.3
4020,32500,3254.3,970,,1116,5340.3,37840.3
4021,32500,3254.3,970,,1116,5340.3,37840.3
4022,32500,3254.3,970,,1116,5340.3,37840.3
4023,32500,3254.3,970,,1116,5340.3,37840.3
4024,32500,3254.3,970,,1116,5340.3,37840.3
4025,32500,3254.3,970,,1116,5340.3,37840.3
4026,32500,3254.3,970,,1116,5340.3,37840.3
4027,32500,3254.3,970,,1116,5340.3,37840.3
4028,32500,3254.3,970,,1116,5340.3,37840.3
4029,32500,3254.3,970,,1116,5340.3,37840.3
4030,32500,3254.3,970,,1116,5340.3,37840.3
4031,32500,3254.3,970,,1116,5340.3,37840.3
4032,32500,3254.3,970,,1116,5340.3,37840.3
4033,32500,3254.3,970,,1116,5340.3,37840.3
4034,32500,3254.3,970,,1116,5340.3,37840.3
4035,32500,3254.3,970,,1116,5340.3,37840.3
4036,32500,3254.3,970,,1116,5340.3,37840.3
4037,32500,3254.3,970,,1116,5340.3,37840.3
4038,32500,3254.3,970,,1116,5340.3,37840.3
4039,32500,3254.3,970,,1116,5340.3,37840.3
4040,32500,3254.3,970,,1116,5340.3,37840.3
4041,32500,3254.3,970,,1116,5340.3,37840.3
4042,32500,3254.3,970,,1116,5340.3,37840.3
4043,32500,3254.3,970,,1116,5340.3,37840.3
4044,32500,3254.3,970,,1116,5340.3,37840.3
4045,32500,3254.3,970,,1116,5340.3,37840.3
4046,32500,3254.3,970,,1116,5340.3,37840.3
4047,32500,3254.3,970,,1116,5340.3,37840.3
4048,32500,3254.3,970,,1116,5340.3,37840.3
4049,32500,3254.3,970,,1116,5340.3,37840.3
4050,32500,3254.3,970,,1116,5340.3,37840.3
4051,32500,3254.3,970,,869,5093.3,37593.3
4052,32500,3254.3,970,,869,5093.3,37593.3
4053,32500,3254.3,970,,869,5093.3,37593.3
4054,32500,3254.3,970,,869,5093.3,37593.3
4055,32500,3254.3,970,,869,5093.3,37593.3
4056,32500,3254.3,970,,869,5093.3,37593.3
4057,32500,3254.3,970,,869,5093.3,37593.3
4058,32500,3254.3,970,,869,5093.3,37593.3
4059,32500,3254.3,970,,869,5093.3,37593.3
4060,32500,3254.3,970,,869,5093.3,37593.3
4061,34870,3254.3,970,,869,5093.3,39963.3
4062,34870,3254.3,970,,869,5093.3,39963.3
4063,34870,3254.3,970,,869,5093.3,39963.3
4064,34870,3254.3,970,,869,5093.3,39963.3
4065,34870,3254.3,970,,869,5093.3,39963.3
4066,34870,3254.3,970,,869,5093.3,39963.3
4067,34870,3254.3,970,,869,5093.3,39963.3
4068,34870,3254.3,970,,869,5093.3,39963.3
4069,34870,3254.3,970,,869,5093.3,39963.3
4070,34870,3254.3,970,,869,5093.3,39963.3
4071,34870,3254.3,970,,869,5093.3,39963.3
4072,34870,3254.3,970,,869,5093.3,39963.3
4073,34870,3254.3,970,,869,5093.3,39963.3
4074,34870,3254.3,970,,869,5093.3,39963.3
4075,34870,3254.3,970,,869,5093.3,39963.3
4076,34870,3254.3,970,,869,5093.3,39963.3
4077,34870,3254.3,970,,869,5093.3,39963.3
4078,34870,3254.3,970,,869,5093.3,39963.3
4079,34870,3254.3,970,,869,5093.3,39963.3
4080,34870,3254.3,970,,869,5093.3,39963.3
4081,34870,3254.3,970,,869,5093.3,39963.3
4082,34870,3254.3,970,,869,5093.3,39963.3
4083,34870,3254.3,970,,869,5093.3,39963.3
4084,34870,3254.3,970,,869,5093.3,39963.3
4085,34870,3254.3,970,,869,5093.3,39963.3
4086,34870,3254.3,970,,869,5093.3,39963.3
4087,34870,3254.3,970,,869,5093.3,39963.3
4088,34870,3254.3,970,,869,5093.3,39963.3
4089,34870,3254.3,970,,869,5093.3,39963.3
4090,34870,3254.3,970,,869,5093.3,39963.3
4091,34870,3254.3,970,,869,5093.3,39963.3
4092,34870,3254.3,970,,869,5093.3,39963.3
4093,34870,3254.3,970,,869,5093.3,39963.3
4094,34870,3254.3,970,,869,5093.3,39963.3
4095,34870,3254.3,970,,869,5093.3,39963.3
4096,34870,3254.3,970,,869,5093.3,39963.3
4097,34870,3254.3,970,,869,5093.3,39963.3
4098,36140,2274.9,970,,546,3790.9,39930.9
4099,36140,2274.9,970,,546,3790.9,39930.9
4100,36140,2274.9,970,,546,3790.9,39930.9
4101,36140,2274.9,970,,546,3790.9,39930.9
4102,36140,2274.9,970,,546,3790.9,39930.9
4103,36140,2274.9,970,,546,3790.9,39930.9
4104,36140,2274.9,970,,546,3790.9,39930.9
4105,36140,2274.9,970,,546,3790.9,39930.9
4106,36140,2274.9,970,,546,3790.9,39930.9
4107,36140,2274.9,970,,546,3790.9,39930.9
4108,36140,2274.9,970,,546,3790.9,39930.9
4109,36140,2274.9,970,,546,3790.9,39930.9
4110,36140,2274.9,970,,546,3790.9,39930.9
4111,36140,2274.9,970,,546,3790.9,39930.9
4112,36140,2274.9,970,,546,3790.9,39930.9
4113,36140,2274.9,970,,546,3790.9,39930.9
4114,36140,2274.9,970,,546,3790.9,39930.9
4115,36140,2274.9,970,,546,3790.9,39930.9
4116,36140,2274.9,970,,546,3790.9,39930.9
4117,36140,2274.9,970,,546,3790.9,39930.9
4118,36140,2274.9,970,,546,3790.9,39930.9
4119,36140,2274.9,970,,546,3790.9,39930.9
4120,36140,2274.9,970,,546,3790.9,39930.9
4121,36140,2274.9,970,,546,3790.9,39930.9
4122,36140,2274.9,970,,546,3790.9,39930.9
4123,36140,2274.9,970,,546,3790.9,39930.9
4124,36140,2274.9,970,,546,3790.9,39930.9
4125,36140,2274.9,970,,546,3790.9,39930.9
4126,36140,2274.9,970,,546,3790.9,39930.9
4127,36140,2274.9,970,,546,3790.9,39930.9
4128,36140,2274.9,970,,546,3790.9,39930.9
4129,36140,2274.9,970,,546,3790.9,39930.9
4130,36140,2274.9,970,,546,3790.9,39930.9
4131,36140,2274.9,970,,546,3790.9,39930.9
