,,,,?????? ??????,?????? ???????,,,,,,,,,,,,
??? ??????,??????,????? ??????,??? ??????,4/1/2026,4/30/2026,????? ???,????? ???,,,,,,,,,,
4000,7A,3/1/2026,244,273,302,1.00,0.97,,,,,,,,,,
4001,7A,3/1/2026,230,233,243,0.34,0.22,,,,,,,,,,
4002,7A,3/1/2026,225,257,282,0.86,0.95,,,,,,,,,,
4003,6A,3/1/2026,217,250,282,1.10,1.08,,,,,,,,,,
4004,6A,3/1/2026,192,237,256,0.66,1.07,,,,,,,,,,
4005,7A,3/1/2026,224,248,282,1.17,0.97,,,,,,,,,,
4006,6A,3/1/2026,197,235,260,0.86,1.05,,,,,,,,,,
4007,7A,3/1/2026,230,252,280,0.97,0.83,,,,,,,,,,
4008,6A,3/1/2026,168,200,213,0.45,0.75,,,,,,,,,,
4009,7A,3/1/2026,223,260,283,0.79,1.00,,,,,,,,,,
4010,7A,3/1/2026,233,265,301,1.24,1.13,,,,,,,,,,
4011,6A,3/1/2026,180,219,242,0.79,1.03,,,,,,,,,,
4012,6A,3/1/2026,204,233,260,0.93,0.93,,,,,,,,,,
4013,6A,3/1/2026,192,226,244,0.62,0.87,,,,,,,,,,
4014,7A,3/1/2026,243,292,326,1.17,1.38,,,,,,,,,,
4015,6A,3/1/2026,195,220,238,0.62,0.72,,,,,,,,,,
4016,6A,3/1/2026,215,235,240,0.17,0.42,,,,,,,,,,
4017,6A,3/1/2026,212,256,275,0.66,1.05,,,,,,,,,,
4018,7A,3/1/2026,248,287,313,0.90,1.08,,,,,,,,,,
4019,6A,3/1/2026,200,225,240,0.52,0.67,,,,,,,,,,
4020,6A,3/1/2026,155,182,200,0.62,0.75,,,,,,,,,,
4021,7A,3/1/2026,227,258,274,0.55,0.78,,,,,,,,,,
4022,6A,3/1/2026,177,197,208,0.38,0.52,,,,,,,,,,
4023,6A,3/1/2026,202,237,260,0.79,0.97,,,,,,,,,,
4024,6A,3/1/2026,190,208,228,0.69,0.63,,,,,,,,,,
4025,7A,3/1/2026,220,243,274,1.07,0.90,,,,,,,,,,
4026,7A,3/1/2026,230,269,298,1.00,1.13,,,,,,,,,,
4027,6A,3/1/2026,214,252,265,0.45,0.85,,,,,,,,,,
4028,6A,3/1/2026,161,190,209,0.66,0.80,,,,,,,,,,
4029,7A,3/1/2026,270,303,332,1.00,1.03,,,,,,,,,,
4030,6A,3/1/2026,178,200,276,2.62,1.63,,,,,,,,,,
4031,6A,3/1/2026,193,220,232,0.41,0.65,,,,,,,,,,
4032,6A,3/1/2026,215,244,276,1.10,1.02,,,,,,,,,,
4033,7A,3/1/2026,273,311,337,0.90,1.07,,,,,,,,,,
4034,6A,3/1/2026,212,246,270,0.83,0.97,,,,,,,,,,
4035,7A,3/1/2026,192,207,241,1.17,0.82,,,,,,,,,,
4036,6A,3/1/2026,207,244,273,1.00,1.10,,,,,,,,,,
4037,7A,3/1/2026,223,246,268,0.76,0.75,,,,,,,,,,
4038,7A,3/1/2026,247,275,310,1.21,1.05,,,,,,,,,,
4039,7A,3/1/2026,229,271,298,0.93,1.15,,,,,,,,,,
4040,7A,3/1/2026,233,265,303,1.31,1.17,,,,,,,,,,
4041,8A,4/1/2026,205,245,253,0.28,1.66,,,,,,,,,,
4042,7A,3/1/2026,268,291,320,1.00,0.87,,,,,,,,,,
4043,7A,3/1/2026,248,295,332,1.28,1.40,,,,,,,,,,
4044,7A,3/1/2026,261,284,322,1.31,1.02,,,,,,,,,,
4045,7A,3/1/2026,244,280,314,1.17,1.17,,,,,,,,,,
4046,6A,3/1/2026,188,216,240,0.83,0.87,,,,,,,,,,
4047,6A,3/1/2026,188,233,242,0.31,0.90,,,,,,,,,,
4048,6A,3/1/2026,216,245,265,0.69,0.82,,,,,,,,,,
4049,7A,3/1/2026,238,271,302,1.07,1.07,,,,,,,,,,
4050,7A,3/1/2026,273,305,333,0.97,1.00,,,,,,,,,,
4051,7A,3/13/2026,266,287,316,1.00,1.04,,,,,,,,,,
4052,7A,3/13/2026,226,249,286,1.28,1.25,,,,,,,,,,
4053,8A,4/1/2026,198,230,302,2.48,3.59,,,,,,,,,,
4054,7A,3/13/2026,255,284,303,0.66,1.00,,,,,,,,,,
4055,7A,3/13/2026,255,270,293,0.79,0.79,,,,,,,,,,
4056,7A,3/13/2026,252,277,309,1.10,1.19,,,,,,,,,,
4057,6A,3/13/2026,215,241,257,0.55,0.88,,,,,,,,,,
4058,6A,3/13/2026,218,245,269,0.83,1.06,,,,,,,,,,
